label,data_time,data_memory,data_memory_inc,ml_time,ml_memory,ml_memory_inc
containerized-2024-08-06 21:27:06.114659,2.523200035095215,267.9961,118.8633,223.19150018692017,370.4336,21.875
containerized-2024-08-06 21:33:29.204476,1.9549000263214111,266.2461,117.3086,167.86470007896423,364.2109,17.5
containerized-2024-08-06 21:47:54.762837,2.089099884033203,269.0234,119.61319999999998,167.1515998840332,368.2812,18.875
containerized-2024-08-06 21:48:45.008438,2.5042998790740967,269.6797,120.01560000000003,213.0339000225067,369.2891,19.125
containerized-2024-08-06 21:54:14.501374,2.0764000415802,269.1055,119.69140000000002,177.45100021362305,368.0898,18.75
containerized-2024-08-06 23:07:05.828262,1.8671998977661133,268.5117,118.8008,170.07190012931824,368.1172,19.125
containerized-2024-08-06 23:07:09.972822,2.194299936294556,268.5234,118.8867,172.37999987602234,370.957,22.0
containerized-2024-08-06 23:14:31.692129,2.335399866104126,267.3984,117.93749999999996,230.1967000961304,351.625,34.668000000000006
containerized-2024-08-10 17:37:11.818865,2.640000104904175,266.832,116.9726,213.5743999481201,364.3086,17.125
containerized-2024-08-10 21:57:54.000819-boost,2.8137998580932617,269.4766,120.03910000000002,102.81820011138916,369.1836,19.0
containerized-2024-08-10 22:03:57.189098-boost,2.154399871826172,266.9219,117.1914,119.11999988555908,364.168,17.0
containerized-2024-08-10 22:08:34.545518-boost,2.330399990081787,266.9102,117.57039999999998,124.12540006637572,367.0664,18.75
containerized-2024-08-10 22:12:59.407553-boost,2.2480998039245605,269.0195,119.664,109.24690008163452,352.9688,34.56649999999996
containerized-2024-08-10 22:27:40.860600-boost,2.345599889755249,268.5781,119.5625,116.62619996070862,368.2578,19.0
containerized-2024-08-10 22:32:19.514377-boost,1.65339994430542,269.1055,119.7383,97.4193000793457,368.0352,18.5
containerized-2024-08-10 22:36:10.395216-boost,2.480600118637085,267.7695,118.73829999999998,100.89939999580383,367.3164,19.125
containerized-2024-08-10 23:39:03.917981-boost,2.3564000129699707,268.1562,118.2851,116.32190012931824,367.2461,18.75
containerized-2024-08-10 23:43:41.986201-boost,2.318300008773804,266.1055,116.91410000000002,119.38369989395142,363.6914,17.0
containerized-2024-08-10 23:48:25.247374-boost,2.4277000427246094,266.5117,117.2031,128.25950002670288,354.7734,34.69919999999996
containerized-2024-08-11 07:36:17.999391-boost,2.334900140762329,266.7656,118.0976,94.72440004348756,366.3086,18.875
containerized-2024-08-11 07:40:02.825006-boost,2.1772000789642334,267.4062,118.0351,94.88579988479614,366.6484,18.875
containerized-2024-08-11 07:44:11.472462-boost,2.339200019836426,268.3633,118.72269999999996,115.55480003356934,367.7734,19.0
containerized-2024-08-11 07:48:46.059536-boost,2.3383002281188965,268.0859,118.8242,114.02770018577576,367.7031,19.25
containerized-2024-08-11 14:29:38.977044-boost,2.664099931716919,268.9961,119.82420000000002,132.3639998435974,367.9492,18.625
containerized-2024-08-11 14:34:31.519432-boost,2.5768001079559326,269.2852,119.73049999999998,123.11129999160768,370.3164,20.375
containerized-2024-08-11 14:39:03.873122-boost,2.447700023651123,267.582,118.289,116.34330010414124,366.4062,18.5
containerized-2024-08-11 14:49:59.127698-boost,1.65339994430542,266.5938,117.23049999999998,93.9184000492096,364.3945,17.375
containerized-2024-08-11 14:53:39.463655-boost,1.995100021362305,267.6094,118.20319999999998,94.74810004234314,366.8008,18.875
containerized-2024-08-11 14:58:06.756483-boost,2.376500129699707,269.6406,120.4023,135.63930010795593,368.8438,18.875
containerized-2024-08-11 15:30:38.958315-boost,2.4941000938415527,269.2891,119.6055,120.38620018959044,368.3516,18.625
containerized-2024-08-11 15:34:55.851257-boost,2.309200048446656,265.4609,115.70309999999998,101.82909989356996,364.2188,17.0
containerized-2024-08-11 15:39:16.311229-boost,2.3422999382019043,268.2969,118.8399,118.24079990386964,368.2305,19.375
containerized-2024-08-11 15:43:56.277488-boost,2.966099977493286,267.0391,117.87890000000002,101.28249979019164,351.4141,34.668000000000006
containerized-2024-08-11 15:47:58.586960-boost,1.9589998722076416,266.0,116.5977,110.71140003204346,354.8477,34.76569999999998
containerized-2024-08-11 15:52:29.514907-boost,2.2876999378204346,267.9688,118.70319999999998,119.24760007858276,368.4492,17.25
containerized-2024-08-11 16:14:44.279190-boost,3.434299945831299,266.9648,118.08590000000004,105.36649990081789,366.2266,18.75
containerized-2024-08-11 16:18:30.306424-boost,1.5841000080108645,267.6562,118.246,89.1438000202179,367.082,19.0
containerized-2024-08-11 16:22:39.719247-boost,2.204900026321411,268.5,118.9141,122.46189999580383,368.0078,19.125
containerized-2024-08-11 18:11:55.441229-boost,2.294600009918213,269.9883,120.13279999999996,101.46580004692078,368.6094,18.125
containerized-2024-08-11 18:15:49.796034-boost,1.84470009803772,268.3164,118.78119999999998,98.33010005950928,368.0352,19.25
containerized-2024-08-11 18:16:17.469443-boost,2.38539981842041,266.6016,117.3985,123.9721999168396,351.8672,35.515600000000006
containerized-2024-08-12 18:30:28.177739-boost,1.96019983291626,267.2734,118.21479999999995,97.69339990615843,366.7383,18.75
containerized-2024-08-12 18:34:51.915025-boost,2.285199880599976,265.5352,115.94539999999998,119.0810000896454,352.0391,34.617200000000025
containerized-2024-08-12 18:34:58.999495-boost,3.680899858474731,266.3555,117.31640000000002,126.58960008621216,363.9141,17.125
containerized-2024-08-12 18:39:51.846595-boost,2.311500072479248,266.2852,117.10159999999996,123.51530003547668,363.5781,16.875
containerized-2024-08-12 18:45:30.153725-boost,2.415899991989136,269.1289,119.5547,119.16100001335144,367.9688,18.25
containerized-2024-08-12 18:49:56.324055-boost,2.594200134277344,267.4023,118.09760000000004,102.5238001346588,366.4023,18.75
containerized-2024-08-12 18:53:43.594836-boost,1.5696001052856443,265.9688,117.13289999999998,95.31799983978271,363.5156,16.875
containerized-2024-08-12 19:00:29.105414-boost,3.89460015296936,270.1758,120.7539,112.46870017051695,368.9102,18.5
containerized-2024-08-12 19:04:58.075870-boost,2.3818001747131348,268.3047,119.01950000000002,117.96689987182616,367.8047,18.875
containerized-2024-08-12 19:12:10.567187-boost,2.128499984741211,265.6484,117.03509999999996,101.33700013160706,363.3984,17.125
containerized-2024-08-12 19:16:09.214114-boost,2.036200046539306,267.4961,118.23440000000002,102.36970019340517,352.0352,34.921899999999994
containerized-2024-08-12 19:20:34.416596-boost,2.3657000064849854,268.918,119.5118,124.21019983291626,368.1953,18.75
containerized-2024-08-12 19:29:12.062987-boost,2.3473000526428223,267.2461,117.4102,116.20379996299744,366.5664,19.0
containerized-2024-08-12 19:33:23.084995-boost,1.8385999202728271,266.707,117.2304,97.36360001564026,364.1953,17.125
containerized-2024-08-12 19:37:46.795789-boost,2.142800092697144,269.4883,119.7266,122.8373999595642,368.3672,18.625
containerized-2024-08-12 20:12:50.776261-boost,2.473099946975708,268.4141,119.78910000000002,124.51080012321472,367.5977,18.75
containerized-2024-08-12 20:17:30.939783-boost,2.2920000553131104,267.0234,117.43359999999998,114.38860011100768,354.7734,34.570299999999975
containerized-2024-08-12 20:22:17.438193-boost,2.527600049972534,266.7148,118.17180000000002,127.86139988899232,350.9023,34.57420000000002
containerized-2024-08-12 21:03:50.748801-boost,2.3109002113342285,266.8086,117.44920000000002,122.54879999160768,364.0547,17.0
containerized-2024-08-12 21:08:28.944541-boost,2.416199922561645,267.1016,118.16020000000005,119.12079977989195,366.2227,18.625
containerized-2024-08-12 21:13:12.339829-boost,2.298500061035156,267.9141,119.23440000000002,127.39600014686584,367.1484,18.625
containerized-2024-08-12 23:13:55.812412-boost,2.3194000720977783,268.4062,118.8984,116.25899982452393,367.8398,18.875
