label,data_cpu_usage,ml_cpu_usage
local-2024-08-12 18:35:27.067668,79.72,69.18898305084745
local-2024-08-12 18:37:55.479405,80.24000000000001,73.07027027027027
local-2024-08-12 18:40:23.881249,79.92,74.0559633027523
local-2024-08-12 18:42:46.333823,80.08,73.95321100917431
local-2024-08-12 18:45:12.702080,81.32000000000001,69.93474576271186
local-2024-08-12 18:47:39.964127,80.34,70.01810344827585
local-2024-08-12 18:50:04.575437,77.97999999999999,72.87387387387388
local-2024-08-12 18:52:37.156212,68.78333333333335,72.5982456140351
local-2024-08-12 19:01:03.368895,81.14,73.21181818181817
local-2024-08-12 19:03:25.300488,81.96000000000001,69.26637931034483
local-2024-08-12 19:05:47.596479,75.62,69.69017857142858
local-2024-08-12 19:08:08.941027,81.42,72.14196428571428
local-2024-08-12 19:10:31.680703,78.88,68.11239669421488
local-2024-08-12 19:13:00.961030,80.97999999999999,73.94912280701755
local-2024-08-12 19:15:23.905676,79.64,70.36440677966101
local-2024-08-12 19:17:46.595459,73.03999999999999,74.38348623853211
local-2024-08-12 19:20:08.063120,83.84,71.50442477876106
local-2024-08-12 19:22:28.050266,81.52000000000001,70.48070175438596
local-2024-08-12 19:29:13.245778,81.72,74.18440366972477
local-2024-08-12 19:31:39.340335,81.10000000000001,73.40272727272728
local-2024-08-12 19:33:59.875830,80.08,74.01100917431192
local-2024-08-12 19:36:19.285807,80.34,69.84782608695652
local-2024-08-12 19:38:42.378866,81.16000000000001,72.08482142857143
local-2024-08-12 19:41:22.234920,81.7,69.51889763779525
local-2024-08-12 19:44:19.154488,79.85999999999999,70.130081300813
local-2024-08-12 19:47:04.833086,78.93999999999998,71.83781512605043
local-2024-08-12 20:15:33.516603,78.55999999999999,72.57946428571428
local-2024-08-12 20:17:56.600231,77.54,73.12053571428571
local-2024-08-12 20:20:18.008481,77.9,73.14036697247707
local-2024-08-12 20:22:39.481098,76.34,70.31592920353982
local-2024-08-12 20:25:00.034993,94.725,68.88879310344828
local-2024-08-12 20:27:21.199451,75.28000000000002,74.84859813084113
local-2024-08-12 20:29:42.705598,65.36666666666667,72.21818181818183
local-2024-08-12 20:32:03.580178,76.98,73.62777777777778
local-2024-08-12 20:34:23.689413,77.16,71.08318584070796
local-2024-08-12 20:36:43.383991,75.88000000000001,74.56415094339623
local-2024-08-12 21:03:29.758428,78.9,68.2512
local-2024-08-12 21:06:12.129701,78.43999999999998,67.67121212121211
local-2024-08-12 21:09:01.025590,84.67999999999999,72.86638655462185
local-2024-08-12 21:11:49.535598,79.36,68.8984251968504
local-2024-08-12 21:14:38.365314,80.97999999999999,70.81538461538462
local-2024-08-12 21:17:00.123553,79.53999999999999,72.03451327433628
local-2024-08-12 21:19:21.205001,79.91999999999999,73.53981481481482
local-2024-08-12 21:21:43.781648,77.24000000000001,68.98347826086957
local-2024-08-12 21:24:04.970751,75.98,68.66896551724138
local-2024-08-12 21:26:40.519820,70.23333333333333,66.46356589147287
local-2024-08-13 22:41:29.663691,69.39999999999999,73.29642857142858
