label,data_time,data_memory,data_memory_inc,ml_time,ml_memory,ml_memory_inc
local-2024-08-04 13:50:48.762193,0.421299934387207,359.5,192.9375,72.27839994430542,323.9844,-119.6562
local-2024-08-04 13:57:26.926508,0.3952000141143799,335.3438,169.2188,66.02590012550354,283.5469,-135.9531
local-2024-08-05 19:18:45.933623,0.4007000923156738,367.0,199.8125,66.52970004081726,326.9688,-124.18740000000004
local-2024-08-05 19:24:43.343885,0.3854999542236328,365.3438,199.6719,68.27660012245178,259.7969,-189.6875
local-2024-08-05 19:40:54.896155,0.3940999507904053,367.0781,201.4062,66.50819993019104,243.6719,-207.5469
local-2024-08-05 19:44:08.837510,0.381699800491333,343.8281,178.8437,66.37709999084473,234.9062,-193.0626
local-2024-08-05 20:38:21.773117,0.4242000579833984,373.5781,207.2187,65.22309994697571,237.0,-220.7344
local-2024-08-05 20:40:54.394908,0.377500057220459,341.9688,176.32819999999998,73.04349994659424,152.25,-273.875
local-2024-08-05 20:44:41.855149,0.3803999423980713,356.9062,190.7968,65.03289985656738,451.1719,10.109399999999994
local-2024-08-05 20:53:10.372171,0.4474000930786133,345.2656,178.625,67.11730003356934,217.6562,-211.75
local-2024-08-05 20:55:39.636253,0.3773999214172363,365.0156,199.1094,64.9944999217987,455.4219,6.265699999999981
local-2024-08-05 20:58:24.023437,0.4311997890472412,355.5781,188.9531,66.05580019950867,227.125,-212.5938
local-2024-08-05 21:01:36.903067,0.3924000263214111,341.6094,175.20319999999998,68.35210013389587,210.9219,-214.8437
local-2024-08-05 21:08:41.037728,0.4538998603820801,347.1719,181.0,66.3594000339508,236.7969,-194.5156
local-2024-08-05 21:12:40.943501,0.4252002239227295,355.1562,188.5937,69.02710008621216,208.9688,-230.3437
local-2024-08-05 21:16:58.593468,0.4067001342773437,346.3125,179.9375,65.82460021972656,159.7812,-270.8907
local-2024-08-05 21:25:59.304845,0.5188000202178955,371.9531,205.3281,67.24810004234314,182.375,-273.8438
